LeagueIndex,APM,SelectByHotkeys,NumberOfPACs,GapBetweenPACs,ActionLatency
5,143.718,0.0035151591,0.0048490365,32.6677,40.8673
5,129.2322,0.0033038124,0.0043070643,32.9194,42.3454
4,69.9612,0.0011010905999999999,0.002925755,44.6475,75.3548
3,107.6016,0.0010335422,0.0037825513,29.2203,53.7352
3,122.8908,0.0011360136,0.0023682994,22.6885,62.0813
2,44.457,0.0009783903,0.0024247064999999997,76.4405,98.7719
1,46.9962,0.0008201141000000001,0.0019884959,94.0227,90.5311
7,212.6022,0.009039739100000001,0.0049524643,24.6117,41.7671
4,117.4884,0.0029442751,0.0053994055,52.013999999999996,46.4321
4,155.9856,0.0050539084,0.0035689328,24.4632,52.1538
3,153.80100000000002,0.0016766145999999999,0.0037723828,23.4107,48.0711
4,79.2948,0.0003785385,0.0035549704,39.6381,65.5
3,67.4754,0.0004225216,0.002885219,42.437,68.0502
3,119.4366,0.0049520434,0.0027279678000000003,54.8718,79.2102
5,160.4754,0.0042538602,0.0045713125,36.2897,46.8889
5,81.7722,0.0023334844,0.0028998641,45.1654,64.75
4,50.8374,0.0006641086,0.0026564345000000002,45.7902,76.8889
5,160.6464,0.0034303442999999998,0.0055351629000000005,28.3636,37.7947
5,107.9118,0.0067013056000000005,0.0032374101,67.0744,71.3251
4,114.7806,0.0026296126,0.0036498448,40.4427,59.937
5,115.1274,0.0026511484999999996,0.0041472322,30.766,49.4854
6,133.7016,0.0044997946,0.0038743045,21.4686,50.5253
5,99.5088,0.00073402,0.0026954178,22.7265,68.7321
5,83.9172,0.0028535133000000003,0.0046073338,51.2082,52.0494
4,216.6936,0.012494648999999998,0.0043343322,27.9255,45.1605
4,129.8598,0.0023150778,0.0034726167,36.3934,57.5215
6,267.5586,0.0278149343,0.0056160988,34.6035,40.6025
5,74.1174,0.000875,0.0035178571,46.4122,71.8173
5,101.6796,0.0014061944,0.0034531862,26.7979,54.5979
6,150.5004,0.005666689399999999,0.0046255206,30.2222,45.5941
3,64.6416,0.0006723442,0.0027594128000000004,53.5776,78.2944
3,41.9094,0.0002757509,0.0021423723,54.4677,91.3069
5,128.0784,0.002753792,0.0039692588,35.393,56.4019
6,161.3466,0.0061099069999999995,0.0041350596,34.1209,47.1034
4,90.7686,0.0016104535000000001,0.0034696763,44.7424,59.5321
6,162.0876,0.0075967266,0.0039864011,23.5303,51.034
1,69.5076,0.00017507,0.0014589169,45.0612,112.96
3,81.0702,0.0017467932,0.0026201898,47.48,75.0846
5,157.332,0.0077426648,0.0037990325,33.0417,57.7716
4,67.6194,0.001565762,0.0016619053,49.4333,89.9174
2,75.9642,0.0006096651,0.0020902802,45.1018,78.3095
5,164.1114,0.0033720319,0.0049876014000000005,40.4604,43.7815
4,101.7864,0.0014531754999999999,0.0041801220000000005,22.569000000000003,54.6094
2,79.128,0.0005007704,0.0027542372999999998,50.5327,67.1422
4,120.7014,0.005495623900000001,0.0036128638,44.8387,60.9175
6,108.5424,0.002100536,0.0030783716999999997,28.4762,61.9294
5,84.1578,0.0023682455,0.0027851901,48.8675,77.7485
3,66.7818,0.0006858533,0.0024069569,56.7784,97.9785
6,129.1464,0.0026310697999999996,0.0051460631,25.0245,43.0827
3,62.2194,0.0010991957,0.002386059,44.3164,90.8989
3,72.141,0.0012379023,0.0033760972,45.9164,68.8778
4,83.9658,0.0026726974,0.0029125547999999998,44.0476,78.0706
5,199.6854,0.0051462973,0.004790264099999999,25.3831,33.9054
4,66.6738,0.0003208948,0.002292106,38.5126,72.16
2,73.9722,0.0026472782,0.0026845638,58.8858,88.6889
6,130.941,0.0047583021,0.0033845664,36.8047,57.2471
2,55.047,0.000642809,0.0025290845,62.8452,83.8667
6,181.104,0.0056354095,0.0050079854,20.8037,39.2255
4,98.6694,0.0044748483000000006,0.0023917292,52.6957,62.5806
4,107.4186,0.0030285773,0.0035592255,37.3723,56.0436
4,119.8716,0.0025467701,0.0027847859999999996,42.6609,67.6068
5,111.8556,0.0044004038,0.0039175665000000005,48.1798,54.1513
3,87.162,0.0003985475,0.0026348419,38.8354,60.0168
2,109.038,0.0043008666,0.0033954209999999996,28.555,63.1429
6,163.4436,0.0053999352,0.0046632124,27.2557,42.4514
6,127.6602,0.0027376583,0.0033443826,22.6667,64.6372
5,142.5096,0.0040592671000000006,0.0034806242,39.7778,56.7456
5,106.4316,0.0016084387,0.0031981746,25.1294,64.7953
5,68.6388,0.00044102080000000003,0.0027343291,84.6087,75.0968
6,128.0802,0.002780837,0.0035517621,25.2451,50.9612
6,189.1506,0.0141993477,0.0037586509000000004,21.1915,48.254
3,98.634,0.0022416848999999997,0.0031018663,52.4388,70.9076
3,38.6472,0.0002643638,0.0024576039000000004,54.496,100.988
2,114.94200000000001,0.0017443669,0.0025776632,31.2208,61.5517
6,211.0536,0.0162800828,0.004954807800000001,33.1129,41.7143
5,77.7252,0.0013082777999999999,0.0023956776,37.5429,73.3333
4,62.8314,0.0009698919,0.0023957159,44.0139,84.2907
5,134.571,0.0031693860999999998,0.0048714638,28.5921,49.506
4,119.23200000000001,0.0033847158000000002,0.0032215969,30.6242,68.4557
4,83.2656,0.0041337498,0.0032840345,80.6761,69.5385
4,109.4994,0.0020789669,0.0045128795,41.2632,52.6742
5,110.7312,0.0031740559,0.0043605241,31.8228,48.1395
4,107.4084,0.0016043982999999998,0.0039650098,30.5633,51.4124
2,53.8788,0.0013120510999999999,0.0015882723999999999,21.325,105.3416
3,72.0948,0.0035302293,0.0022863098999999997,73.9634,89.1793
5,162.4398,0.0116803889,0.0040670568,33.7914,55.8293
5,111.0876,0.0031411898,0.003543143,25.6371,55.6303
5,117.4128,0.0052675585,0.0032399665999999997,53.013000000000005,53.7032
5,164.4894,0.008501585899999999,0.0049027083,40.0312,43.3468
6,195.1986,0.006011939799999999,0.0039308837,30.9462,41.5829
5,116.2062,0.0043155623,0.0034998158,41.4792,59.1429
6,207.576,0.010294785899999999,0.0057650801,20.5235,37.9901
5,193.6086,0.007317992099999999,0.0053037329,17.9945,39.1803
5,335.499,0.0356382492,0.0047616867,24.2551,43.0048
5,188.76,0.0104507737,0.0043395379999999996,22.2383,47.0904
3,62.898,0.0020328020000000002,0.004019404,58.5591,60.3678
6,146.6856,0.0049566295,0.0043132209,28.8864,48.9061
2,76.8504,0.0007144174000000001,0.0019473636,42.5714,82.5089
4,59.181000000000004,0.00163768,0.0025379252,62.5909,84.4528
4,100.4322,0.0006862708000000001,0.003797992,45.6675,66.7822
6,157.9002,0.0081300813,0.00297949,18.5,52.9302
3,87.2484,0.0002505289,0.0034238949,27.2787,49.9512
4,130.4472,0.0022572778,0.0035675367,37.3869,50.5018
6,189.375,0.010655401799999999,0.0061079411,30.031,34.7148
7,286.4538,0.0178518445,0.0062061122,20.4232,30.9801
6,178.368,0.0052714624,0.00372947,17.1594,42.5962
1,68.6598,0.0003020456,0.0023955339000000003,48.6812,87.51299999999999
5,136.5768,0.0024831046,0.0023039115,34.7416,61.2889
6,262.611,0.0156994048,0.0045014881,25.9917,33.8017
3,91.30799999999999,0.0037889594,0.0030935739,42.0578,78.6052
6,176.5188,0.0071709786,0.0041415278,24.644000000000002,44.8519
6,209.8398,0.0130610478,0.0043897628000000005,27.8791,48.3616
3,108.4692,0.0021866960999999997,0.0033719221000000003,32.7104,56.653999999999996
6,166.90200000000002,0.008271028,0.0031308410999999997,31.4286,52.6866
4,89.9394,0.0012593911,0.0027250619,31.616,68.6056
4,197.5674,0.014814309099999999,0.0045740033,40.1297,45.1343
6,91.866,0.0030128763,0.0046854235999999995,36.3039,49.7311
5,166.5636,0.0021712489,0.0055280264,23.1111,38.6699
3,99.2874,0.0019259258999999999,0.0031555555999999998,53.9434,60.7887
7,216.6852,0.011957259199999999,0.0056912408,21.6119,32.6225
6,130.5,0.0044794189000000005,0.0042978208,31.7314,48.5211
3,52.8438,0.0015406738,0.0025677895999999998,65.0345,82.24
5,200.9172,0.021356313199999997,0.0036062196,54.3652,62.9957
5,144.6822,0.0052753816,0.0048882990000000005,34.1769,42.6516
5,125.7894,0.0022284610999999998,0.0045709774,36.5231,47.5701
6,113.601,0.0027171588,0.0036371415999999998,22.7456,60.0471
6,157.9686,0.0063767812,0.0055042381,29.2745,41.8308
2,61.7502,0.0016044129999999998,0.001910874,72.4952,85.5472
4,83.085,0.0008551738,0.0032194778000000004,31.451,57.7344
4,38.2104,0.0009157042999999999,0.0016787913000000001,73.5573,123.4848
3,83.376,0.0005189375,0.0029556873,58.8878,67.0636
5,119.5992,0.0042808684,0.0039959294,37.2925,48.4958
5,129.9594,0.0020728391,0.0044465742,24.6131,54.5865
3,78.825,4.5495905368516794e-05,0.0031847134,45.6978,72.9714
5,81.711,0.0008131403,0.0033338753999999997,49.1755,66.5691
3,76.5426,0.0010614730999999999,0.0027492814000000003,57.1442,82.9353
4,88.1628,0.0015055956,0.0027029590000000004,51.8062,81.2632
5,134.2992,0.0036035095,0.0030081471,10.8571,54.5139
